month	INP	CPI	EMP	HP	CD	loan	KOSPI	FX	MPrate
9-11	88.19273481	90.39900887	24402	66.18485953	3.58	625419.4	1769.65	1118.61	3.25
10-11	88.00181662	90.46031846	24704	66.1189636	3.58	631117.1	1909.03	1155.45	3.25
11-11	88.04901837	90.9086625	24675	65.87058663	3.56	634860	1847.51	1132.31	3.25
12-11	87.65113054	91.24401008	24719	65.46507321	3.55	639605.6	1825.74	1147.45	3.25
1-12	88.23166651	91.28883205	24684	65.44986645	3.55	636200.9	1955.79	1145.85	3.25
2-12	88.46398091	91.45513971	24784	65.38903944	3.53	637211.6	2030.25	1123.35	3.25
3-12	88.43740107	91.424376	24872	65.13052463	3.54	637123.8	2014.04	1125.9	3.25
4-12	88.44686141	91.45473113	24950	64.79597606	3.54	639583.9	1981.99	1135.55	3.25
5-12	88.24989523	91.65620727	25075	64.54253017	3.54	642741.1	1843.47	1154.27	3.25
6-12	88.78808665	91.69118925	25036	64.29922212	3.54	645854.9	1854.01	1165.51	3.25
7-12	88.37800826	91.51164881	25031	63.92919112	3.34	647552.4	1881.99	1143.36	3
8-12	88.90827738	91.7478353	24994	63.62505605	3.19	649818.9	1905.12	1131.69	3
9-12	88.22772333	92.28802327	25048	63.35133449	3.14	648512.3	1996.21	1124.78	3
10-12	88.91610441	92.34411143	25056	63.1840602	2.93	651132.8	1912.06	1106.93	2.75
11-12	88.57964596	92.38130738	24976	62.88499405	2.85	653102.3	1932.9	1087.52	2.75
12-12	89.46724302	92.53765245	24932	62.52003197	2.88	659858.3	1997.05	1076.97	2.75
1-13	89.99551032	92.76567708	24953	62.48961847	2.86	656243.3	1961.94	1065.35	2.75
2-13	90.03988538	92.89348319	24910	62.52003197	2.83	654445.9	2026.49	1086.68	2.75
3-13	90.1707734	92.77095439	25037	62.65182384	2.81	655063.9	2004.89	1102.2	2.75
4-13	89.94732759	92.68247519	25221	62.83937379	2.8	656479.2	1963.95	1121.83	2.75
5-13	90.14075008	92.71386592	25263	62.91033864	2.72	659877.1	2001.05	1110.67	2.5
6-13	89.89832894	92.76369144	25321	62.80389137	2.69	666423.4	1863.32	1135.21	2.5
7-13	89.97460592	92.99545241	25335	62.85458055	2.68	667545.9	1914.03	1127.23	2.5
8-13	89.90350872	93.13134967	25372	63.03706159	2.66	670827.5	1926.36	1116.98	2.5
9-13	90.38557696	93.19353321	25489	63.40709259	2.66	672072.2	1996.96	1087.35	2.5
10-13	90.40618662	93.13247816	25538	63.7821925	2.66	676077.7	2030.09	1066.8	2.5
11-13	90.8046906	93.48313642	25589	63.87343302	2.65	681121.3	2044.87	1062.82	2.5
12-13	90.84545679	93.59146929	25543	63.95960462	2.65	687186.4	2011.34	1056.67	2.5
1-14	91.51823453	93.76236655	25734	64.26880861	2.65	685180.7	1941.15	1064.75	2.5
2-14	91.92414548	93.82810502	25818	64.68445987	2.65	688137.3	1979.99	1071.3	2.5
3-14	91.90261866	93.98181176	25764	65.03928411	2.65	690570.9	1985.61	1070.89	2.5
4-14	91.2806776	94.08166229	25893	65.13559355	2.65	695539.1	1961.79	1044.55	2.5
5-14	91.15188092	94.26153608	25771	65.13052463	2.65	699317.6	1994.96	1024.99	2.5
6-14	91.55760793	94.30043372	25819	65.17107598	2.65	705225.9	2002.21	1019.36	2.5
7-14	91.83011495	94.47768627	25925	65.2623165	2.65	710954.9	2076.12	1019.93	2.5
8-14	91.40894844	94.44392925	26024	65.69317451	2.52	717236	2068.54	1025.36	2.25
9-14	91.12135791	94.26194804	25993	66.2608933	2.35	722884.9	2020.09	1033.24	2.25
10-14	90.88731551	94.19335935	25992	66.69682023	2.21	730645.4	1964.43	1060.28	2
11-14	91.27941545	94.3785942	26054	66.87930127	2.14	738162.3	1980.78	1095.1	2
12-14	91.45908763	94.36805243	25975	67.02629988	2.13	745823.2	1915.59	1104.33	2
1-15	92.00825103	94.6717351	26085	67.36084846	2.13	746493.7	1949.26	1088.86	2
2-15	92.44964808	94.42829673	26167	67.75115513	2.12	750272.9	1985.8	1098.4	2
3-15	92.71798258	94.43545357	26057	68.41518336	1.95	755124.9	2041.03	1112.57	1.75
4-15	92.53887155	94.5015053	26072	68.95248864	1.81	765240.8	2127.17	1088.66	1.75
5-15	92.5857833	94.78645825	26100	69.39855341	1.8	768150.8	2114.8	1091.27	1.75
6-15	92.34541878	94.96212531	26088	69.84968709	1.7	759947.8	2074.2	1112.2	1.5
7-15	92.94962081	95.18081838	26183	70.43261264	1.65	763268.2	2030.16	1143.22	1.5
8-15	93.14254053	95.10795902	26199	70.9344355	1.64	773068.4	1941.49	1179.1	1.5
9-15	94.21535997	94.73337603	26262	71.42105161	1.6	780590.2	1962.81	1184.76	1.5
10-15	94.46504632	94.94073037	26272	71.88232312	1.58	792401.9	2029.47	1148.18	1.5
11-15	94.64045552	95.14476834	26262	72.06987308	1.59	801296.2	1991.97	1151.97	1.5
12-15	94.20064356	95.43080436	26397	72.02425282	1.67	812360	1961.31	1172.24	1.5
1-16	93.37091399	95.25814192	26352	71.91273663	1.67	815207.3	1912.06	1201.67	1.5
2-16	93.52851772	95.47296541	26299	71.88739204	1.64	818680.7	1916.66	1217.35	1.5
3-16	93.65384973	95.23963123	26253	71.87218529	1.63	825506	1995.85	1188.21	1.5
4-16	95.13310168	95.4559128	26248	71.95328797	1.61	833242.2	1994.15	1147.51	1.5
5-16	95.84822946	95.53093402	26292	72.14590685	1.58	843348.3	1983.4	1171.51	1.5
6-16	96.39087438	95.6673925	26371	72.53621352	1.43	853309.9	1970.35	1170.5	1.25
7-16	96.36644497	95.54532059	26414	73.03803638	1.36	861646.9	2016.19	1144.09	1.25
8-16	95.99315004	95.57587904	26516	73.59054842	1.35	873305.7	2034.65	1111.68	1.25
9-16	96.61318303	96.00670711	26470	74.37623067	1.34	881665.9	2043.63	1107.49	1.25
10-16	96.81299636	96.33827905	26505	75.14163726	1.35	891837.3	2008.19	1125.28	1.25
11-16	97.66620813	96.592329	26551	75.28863588	1.42	903488.8	1983.48	1161.64	1.25
12-16	97.20083731	96.70426657	26650	75.28863588	1.54	908675.7	2026.46	1182.28	1.25
1-17	98.30816109	97.39236597	26596	75.19232644	1.5	908985	2067.57	1185.1	1.25
2-17	98.53773105	97.45863544	26654	75.23287778	1.49	912946.4	2091.64	1144.92	1.25
3-17	99.14924195	97.41718347	26700	75.39508315	1.48	917092.7	2160.23	1134.77	1.25
4-17	98.2930325	97.3298025	26674	75.55728852	1.43	922033.7	2205.44	1132.73	1.25
5-17	98.3368994	97.45056528	26674	76.12500731	1.39	929148.3	2347.38	1125.28	1.25
6-17	98.46154094	97.39602402	26676	76.82451797	1.38	935349.8	2391.79	1130.04	1.25
7-17	98.75431812	97.62255224	26730	77.65582048	1.39	941743.1	2402.71	1134.4	1.25
8-17	100.0225913	97.95554896	26715	77.98530014	1.39	949144.2	2363.19	1130.79	1.25
9-17	99.00722535	97.92037401	26783	78.32998655	1.38	954593.1	2394.47	1131.59	1.25
10-17	99.20573841	98.02078294	26789	78.72536214	1.38	962261.4	2523.43	1131.57	1.25
11-17	97.70030171	97.69842706	26801	79.03963504	1.45	970075.9	2476.37	1105.04	1.5
12-17	99.09144699	98.06326966	26914	79.44514846	1.66	974569.5	2467.49	1085.78	1.5
1-18	99.31386867	98.13864917	26947	80.33220907	1.66	977550.2	2566.46	1066.7	1.5
2-18	99.68207156	98.68305307	26741	81.13309808	1.65	979588.3	2427.36	1079.58	1.5
3-18	100.1789717	98.6115504	26791	81.70588579	1.65	983476.5	2445.85	1071.89	1.5
4-18	100.1616967	98.82464567	26804	81.89850467	1.65	988921.3	2515.38	1067.76	1.5
5-18	100.3782562	98.88697851	26747	81.94919385	1.65	993826.4	2423.01	1076.39	1.5
6-18	100.362835	98.83638496	26782	82.07084787	1.65	998893	2326.13	1092.8	1.5
7-18	100.775231	98.72037915	26752	82.44594779	1.65	1002849.6	2295.26	1122.8	1.5
8-18	100.4998831	99.35935799	26713	84.13896633	1.65	1008702.7	2322.88	1121.15	1.5
9-18	100.6191278	99.95950651	26831	85.8117092	1.65	1013127.3	2343.07	1120.6	1.5
10-18	100.2691998	99.96958505	26857	86.37435907	1.68	1021081.8	2029.69	1130.81	1.5
11-18	100.1039742	99.67248307	26964	86.33887665	1.71	1028383.4	2096.86	1128.58	1.75
12-18	99.85389004	99.35236126	26954	86.10063751	1.91	1033817.4	2041.04	1122.9	1.75
1-19	99.22925745	98.91984826	26976	85.8117092	1.87	1033202.7	2204.85	1122	1.75
2-19	99.48041278	99.14250593	26994	85.50250522	1.87	1034535	2195.44	1122.45	1.75
3-19	99.74276707	98.98923626	27026	85.09699179	1.9	1035954.4	2140.67	1130.72	1.75
4-19	101.0177979	99.3811027	26985	84.76751214	1.86	1040219.5	2203.59	1140.95	1.75
5-19	101.2502616	99.5639066	26998	84.7573743	1.84	1045049.6	2041.74	1183.29	1.75
6-19	101.1555358	99.54530191	27059	85.13754313	1.8	1049758.6	2130.62	1175.62	1.75
7-19	101.2597833	99.31924713	27058	85.96377673	1.68	1055549.3	2024.55	1175.31	1.5
8-19	101.4613783	99.32500915	27151	86.5821847	1.49	1062421.8	1967.79	1208.98	1.5
9-19	101.7613446	99.53221976	27181	87.17524808	1.54	1066472	2063.05	1197.55	1.5
10-19	101.6067258	99.96512096	27274	88.36644376	1.46	1074495.9	2083.48	1184.13	1.25
11-19	102.1590856	99.81823253	27293	89.84149884	1.52	1080365.6	2087.96	1167.45	1.25
12-19	101.7305476	100.0826029	27488	91.41286335	1.53	1083982	2197.67	1175.84	1.25
1-20	101.01166	100.1228067	27571	92.33540639	1.47	1083511.5	2119.01	1164.28	1.25
2-20	100.2283237	99.99125353	27486	93.62798043	1.42	1086425.4	1987.01	1193.79	1.25
3-20	98.49487907	99.80975909	26809	94.34776675	1.23	1094531.8	1754.64	1220.09	0.75
4-20	97.55836251	99.40417473	26515	94.43900727	1.1	1099520.7	1947.56	1225.23	0.75
5-20	97.42973013	99.35552538	26606	94.98138148	1.02	1103055	2029.6	1228.67	0.5
6-20	98.56133799	99.76109854	26710	97.17115396	0.79	1109118.1	2108.33	1210.01	0.5
7-20	99.34166499	99.75953643	26799	99.58902774	0.79	1116049.9	2249.37	1198.9	0.5
8-20	100.0311969	100.0895785	26874	100.993118	0.68	1128096.9	2326.17	1186.85	0.5
9-20	100.2275364	100.4798247	26795	102.2197961	0.63	1138181	2327.89	1178.8	0.5
10-20	101.2301282	100.1045098	26856	103.7201957	0.63	1149710.3	2267.15	1144.68	0.5
11-20	101.1543584	100.4256754	27024	106.0772425	0.66	1166027.4	2591.34	1116.76	0.5
12-20	101.9199008	100.6986312	26861	108.7029419	0.66	1173695.4	2873.47	1095.13	0.5
1-21	102.3366073	101.075024	26566	111.7949818	0.68	1181802.1	2976.21	1097.49	0.5
2-21	103.4057068	101.4152472	26990	114.2736826	0.73	1190056.7	3012.95	1111.72	0.5
3-21	104.3348159	101.7113451	27114	116.1339754	0.75	1197922.8	3061.42	1131.02	0.5
4-21	104.6714705	101.8833259	27169	117.4569629	0.74	1216813.4	3147.86	1119.4	0.5
5-21	105.0746665	101.9626551	27210	119.241222	0.68	1212641.6	3203.92	1123.28	0.5
6-21	105.1190614	102.0948851	27280	121.3752364	0.66	1219371.2	3296.68	1121.3	0.5
7-21	105.4440649	102.3828195	27340	123.7779034	0.69	1232276.9	3202.32	1143.98	0.5
8-21	105.1367045	102.6480544	27381	126.3072934	0.77	1240150.7	3199.27	1160.34	0.75
9-21	105.5785383	102.913252	27464	128.2740335	0.98	1248662.8	3068.82	1169.54	0.75
10-21	106.3588046	103.2718261	27506	129.6477102	1.08	1254844.2	2970.68	1182.82	0.75
11-21	108.0347235	104.2030946	27579	130.0228101	1.17	1260637.1	2839.01	1182.91	1
12-21	109.1351734	104.4141898	27661	129.9771899	1.27	1261485.9	2977.65	1183.7	1
1-22	109.4325784	104.890444	27739	129.7085372	1.39	1259864.4	2663.34	1194.01	1.25
2-22	109.1658919	105.2634281	28043	129.4702981	1.5	1258508.5	2699.18	1198.34	1.25
3-22	109.5980869	105.9781824	27939	129.4094711	1.5	1254501.2	2757.65	1221.03	1.25
4-22	110.9137316	106.7359484	28034	129.4196089	1.64	1254664.8	2695.05	1232.34	1.5
5-22	111.4839739	107.4103313	28124	129.0850603	1.77	1254617.4	2685.9	1269.88	1.75
6-22	111.5904271	108.2485666	28107	128.8417523	1.99	1255249.9	2332.64	1277.35	1.75
7-22	110.9148658	108.84514	28160	128.0357944	2.41	1253182.2	2451.5	1307.4	2.25
8-22	110.7251184	108.5227503	28175	127.0524243	2.79	1253112.1	2472.05	1318.44	2.5
9-22	110.5809203	108.5613173	28166	125.9220556	3.01	1252127.4	2155.49	1391.59	2.5
10-22	110.2862823	109.0724243	28178	124.2239682	3.69	1251804.7	2293.61	1426.66	3
11-22	111.0310084	109.3999654	28206	122.1355741	3.99	1249860	2472.53	1364.1	3.25
12-22	110.0311545	109.6365194	28193	120.0218353	4.02	1248001.1	2236.4	1296.22	3.25
1-23	111.1795831	110.1130444	28173	117.6039616	3.8	1240718.5	2425.08	1247.25	3.5
2-23	110.9137357	110.1772333	28358	115.789289	3.52	1235202.3	2412.85	1270.74	3.5
3-23	111.8109709	110.40372	28403	114.7450919	3.61	1226067.8	2476.86	1305.73	3.5
4-23	110.9339782	110.6808582	28386	114.1773731	3.5	1221569.5	2501.53	1320.01	3.5
5-23	111.1968668	111.0433747	28458	113.9746164	3.64	1221655.6	2577.12	1328.21	3.5
6-23	111.2916154	111.2022158	28434	114.1621664	3.75	1223078.9	2564.28	1296.71	3.5
7-23	111.9300174	111.4085596	28372	114.5423352	3.75	1225324.9	2632.58	1286.3	3.5
8-23	112.2108193	112.170524	28438	115.0948473	3.7	1227349.5	2556.27	1318.47	3.5
9-23	112.7023596	112.5670107	28474	115.6372215	3.76	1228284.3	2465.07	1329.47	3.5
10-23	112.7493647	113.1628951	28519	115.7588755	3.82	1231967.7	2277.99	1350.69	3.5
11-23	112.8146721	112.9968338	28484	115.3837756	3.83	1234368.2	2535.29	1310.39	3.5
12-23	113.4609973	113.0868844	28495	114.9579865	3.83	1233861.3	2655.28	1303.98	3.5
1-24	113.1533174	113.1951035	28577	114.618369	3.74	1235130.2	2497.09	1323.57	3.5
2-24	112.9790617	113.617981	28690	114.552473	3.69	1236399.1	2642.36	1331.74	3.5
